Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Australia,3,1,2,0.666666666666667,0.00862068965517241,0.666666666666667
Brazil,14,1,13,85.6666666666667,0.0128205128205128,0.928571428571429
Cambodia,1,1,0,0,0.0072992700729927,0
Central_African_Republic,1,1,0,0,0.00520833333333333,0
China,6,4,2,33.5,0.0117647058823529,0.333333333333333
Colombia,8,2,6,56,0.0103092783505155,0.75
Cuba,1,1,0,0,0.00806451612903226,0
Dominican_Republic,10,3,7,53,0.0114942528735632,0.7
Ecuador,1,1,0,0,0.00869565217391304,0
French_Guiana,1,1,0,0,0.00666666666666667,0
French_Polynesia,5,1,4,147.5,0.0111111111111111,0.8
Guatemala,1,1,0,0,0.00746268656716418,0
Haiti,3,2,1,12,0.00925925925925926,0.333333333333333
Honduras,4,2,2,0,0.00806451612903226,0.5
Indonesia,1,1,0,0,0.0072992700729927,0
Italy,2,2,0,0,0.00909090909090909,0
Jamaica,2,2,0,0,0.00847457627118644,0
Japan,3,3,0,0,0.00917431192660551,0
Malaysia,3,1,2,55,0.00806451612903226,0.666666666666667
Martinique,1,1,0,0,0.00746268656716418,0
Mexico,10,3,7,120.5,0.0103092783505155,0.7
Micronesia,2,1,1,12,0.00699300699300699,0.5
Nicaragua,6,3,3,7,0.00943396226415094,0.5
Nigeria,1,1,0,0,0.00520833333333333,0
Panama,1,1,0,0,0.00746268656716418,0
Peru,1,1,0,0,0.00746268656716418,0
Philippines,2,1,1,3,0.0078125,0.5
Puerto_Rico,3,1,2,0,0.00934579439252336,0.666666666666667
Russia,2,2,0,0,0.00869565217391304,0
Senegal,4,1,3,30,0.00645161290322581,0.75
Singapore,4,2,2,124.5,0.0104166666666667,0.5
South_Korea,2,2,0,0,0.00943396226415094,0
Suriname,2,1,1,8,0.00884955752212389,0.5
Taiwan,1,1,0,0,0.0075187969924812,0
Thailand,5,1,4,72.6666666666667,0.01,0.8
Uganda,1,1,0,0,0.00520833333333333,0
United_Kingdom,1,1,0,0,0.00689655172413793,0
USA,7,6,1,7,0.0108695652173913,0.142857142857143
Venezuela,2,2,0,0,0.00917431192660551,0
